date,source,site_id,poc,pm2_5,units,daily_aqi_value,local_site_name,daily_obs_count,percent_complete,aqs_parameter_code,aqs_parameter_description,method_code,method_description,cbsa_code,cbsa_name,state_fips_code,state,county_fips_code,county,site_latitude,site_longitude
2017-12-04,AQS,060830011,3,10,ug/m3 LC,53,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-05,AQS,060830011,3,54.8,ug/m3 LC,149,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-06,AQS,060830011,3,139.4,ug/m3 LC,215,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-07,AQS,060830011,3,231.6,ug/m3 LC,313,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-08,AQS,060830011,3,105.1,ug/m3 LC,186,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-09,AQS,060830011,3,96,ug/m3 LC,179,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-10,AQS,060830011,3,96.3,ug/m3 LC,180,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-11,AQS,060830011,3,91.2,ug/m3 LC,176,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-12,AQS,060830011,3,90.2,ug/m3 LC,175,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-13,AQS,060830011,3,81.2,ug/m3 LC,169,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-14,AQS,060830011,3,63,ug/m3 LC,156,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-15,AQS,060830011,3,54.6,ug/m3 LC,148,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-16,AQS,060830011,3,72.5,ug/m3 LC,163,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-17,AQS,060830011,3,40.7,ug/m3 LC,114,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-18,AQS,060830011,3,19.2,ug/m3 LC,70,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
2017-12-19,AQS,060830011,3,16.7,ug/m3 LC,65,Santa Barbara,1,100,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",06,California,083,Santa Barbara,34.4277749961254,-119.691217778642
